outer_fold,config_id,learning_rate,scheduler,image_size,fine_tuning,loss,architecture,initialization,train_patients,train_cme_positive_patients,train_cme_negative_patients,train_images,validation_patients,validation_cme_positive_patients,validation_cme_negative_patients,validation_images,test_patients,test_cme_positive_patients,test_cme_negative_patients,test_images,accuracy,auroc,auprc,sensitivity,specificity,precision,recall,f1,threshold,tn,fp,fn,tp,best_epoch,seed,selection_metric,selected_inner_validation_auroc
1,lr_1em03_sched_step_img_320_ft_layer3_layer4_fc_loss_weighted_cross_entropy_2e77ebeaf3,0.001,step,320,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,74,29,45,133,19,5,14,34,24,15,9,40,0.7083333333333334,0.8074074074074074,0.9006620085567454,0.6,0.8888888888888888,0.9,0.6,0.72,0.3760009706020355,8,1,6,9,6,101041,mean_inner_validation_auroc,0.9015510905216787
2,lr_1em03_sched_none_img_320_ft_layer3_layer4_fc_loss_weighted_cross_entropy_65901fafb2,0.001,none,320,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,74,31,43,131,19,9,10,33,24,9,15,43,0.5416666666666666,0.6370370370370371,0.47958892958892957,0.6666666666666666,0.4666666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.7818639874458313,7,8,3,6,2,201041,mean_inner_validation_auroc,0.8982947607947609
3,lr_1em03_sched_cosine_img_224_ft_layer3_layer4_fc_loss_weighted_cross_entropy_910d3681f6,0.001,cosine,224,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,75,34,41,132,19,6,13,34,23,9,14,41,0.8695652173913043,0.9841269841269842,0.9765432098765434,0.7777777777777778,0.9285714285714286,0.875,0.7777777777777778,0.8235294117647058,0.31667959690093994,13,1,2,7,5,301041,mean_inner_validation_auroc,0.8996909340659341
4,lr_1em03_sched_step_img_224_ft_layer4_fc_loss_focal_59cd78cb54,0.001,step,224,layer4_fc,focal,resnet18,imagenet,75,32,43,135,19,8,11,31,23,9,14,41,0.8260869565217391,0.6984126984126984,0.7955250444952964,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.6666666666666666,0.75,0.8076737523078918,13,1,3,6,3,401041,mean_inner_validation_auroc,0.941012112887113
5,lr_1em04_sched_none_img_320_ft_full_loss_weighted_cross_entropy_931a87fcf8,0.0001,none,320,full,weighted_cross_entropy,resnet18,imagenet,75,31,44,133,19,11,8,32,23,7,16,42,0.6956521739130435,0.7589285714285714,0.6564864542308151,0.8571428571428571,0.625,0.5,0.8571428571428571,0.631578947368421,0.32119518518447876,10,6,1,6,10,501041,mean_inner_validation_auroc,0.9100559163059164
