metric,estimate,ci_lower,ci_upper
accuracy,0.7264957264957265,0.6410256410256411,0.8034188034188035
auroc,0.7079831932773111,0.6096052765736025,0.802171861307135
auprc,0.6261404819852965,0.4929221469120605,0.755089244608396
sensitivity,0.6938775510204082,0.5581395348837209,0.8222222222222222
specificity,0.75,0.6428304904051173,0.8529411764705882
precision,0.6666666666666666,0.5319148936170213,0.7959183673469388
recall,0.6938775510204082,0.5581395348837209,0.8222222222222222
f1,0.68,0.5631067961165048,0.7796610169491526
