outer_fold,inner_fold,config_id,learning_rate,scheduler,image_size,fine_tuning,loss,architecture,initialization,train_patients,train_cme_positive_patients,train_cme_negative_patients,train_images,validation_patients,validation_cme_positive_patients,validation_cme_negative_patients,validation_images,accuracy,auroc,auprc,sensitivity,specificity,precision,recall,f1,threshold,tn,fp,fn,tp,best_epoch,seed
4,3,lr_1em04_sched_cosine_img_320_ft_layer4_fc_loss_weighted_cross_entropy_d1e124db05,0.0001,cosine,320,layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.8482142857142857,0.7561024409763906,0.8571428571428571,0.875,0.75,0.8571428571428571,0.8,0.6940210461616516,14,2,1,6,3,40342
4,4,lr_1em04_sched_cosine_img_320_ft_layer4_fc_loss_weighted_cross_entropy_d1e124db05,0.0001,cosine,320,layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.782608695652174,0.8636363636363636,0.8815508021390375,0.8181818181818182,0.75,0.75,0.8181818181818182,0.782608695652174,0.2177143096923828,9,3,2,9,8,40442
4,1,lr_1em04_sched_cosine_img_320_ft_layer4_fc_loss_focal_f702c93367,0.0001,cosine,320,layer4_fc,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.9166666666666666,0.8321678321678322,0.9029823931009702,0.8181818181818182,1.0,1.0,0.8181818181818182,0.9,0.3850886225700378,13,0,2,9,14,40142
4,2,lr_1em04_sched_cosine_img_320_ft_layer4_fc_loss_focal_f702c93367,0.0001,cosine,320,layer4_fc,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.875,0.888111888111888,0.8605505605505606,1.0,0.7692307692307693,0.7857142857142857,1.0,0.88,0.3283542692661285,10,3,0,11,26,40242
4,3,lr_1em04_sched_cosine_img_320_ft_layer4_fc_loss_focal_f702c93367,0.0001,cosine,320,layer4_fc,focal,resnet18,imagenet,71,33,38,126,23,7,16,40,0.9130434782608696,0.8660714285714286,0.7598439375750299,0.8571428571428571,0.9375,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7271807789802551,15,1,1,6,4,40342
4,4,lr_1em04_sched_cosine_img_320_ft_layer4_fc_loss_focal_f702c93367,0.0001,cosine,320,layer4_fc,focal,resnet18,imagenet,71,29,42,123,23,11,12,43,0.9565217391304348,0.9696969696969696,0.9757575757575758,0.9090909090909092,1.0,1.0,0.9090909090909092,0.9523809523809524,0.4582100808620453,12,0,1,10,18,40442
4,1,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_weighted_cross_entropy_87bb184750,0.0001,cosine,320,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7916666666666666,0.8041958041958043,0.8266249300938298,0.8181818181818182,0.7692307692307693,0.75,0.8181818181818182,0.782608695652174,0.4610012471675873,10,3,2,9,11,40142
4,2,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_weighted_cross_entropy_87bb184750,0.0001,cosine,320,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,70,29,41,124,24,11,13,42,0.875,0.916083916083916,0.9348484848484848,0.9090909090909092,0.8461538461538461,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.2625819146633148,11,2,1,10,6,40242
4,3,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_weighted_cross_entropy_87bb184750,0.0001,cosine,320,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8260869565217391,0.875,0.8445378151260503,0.8571428571428571,0.8125,0.6666666666666666,0.8571428571428571,0.75,0.3999406397342682,13,3,1,6,5,40342
4,4,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_weighted_cross_entropy_87bb184750,0.0001,cosine,320,layer3_layer4_fc,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.8695652173913043,0.8863636363636364,0.8955903878152682,0.9090909090909092,0.8333333333333334,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.1996640563011169,10,2,1,10,15,40442
4,1,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_focal_cc0803cc90,0.0001,cosine,320,layer3_layer4_fc,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.7083333333333334,0.7202797202797202,0.7559440559440559,0.9090909090909092,0.5384615384615384,0.625,0.9090909090909092,0.7407407407407407,0.2080205976963043,7,6,1,10,11,40142
4,2,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_focal_cc0803cc90,0.0001,cosine,320,layer3_layer4_fc,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.8333333333333334,0.902097902097902,0.9089566998657908,0.9090909090909092,0.7692307692307693,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.2378074377775192,10,3,1,10,18,40242
4,3,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_focal_cc0803cc90,0.0001,cosine,320,layer3_layer4_fc,focal,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.9464285714285714,0.9095238095238094,1.0,0.8125,0.7,1.0,0.8235294117647058,0.400801420211792,13,3,0,7,6,40342
4,4,lr_1em04_sched_cosine_img_320_ft_layer3_layer4_fc_loss_focal_cc0803cc90,0.0001,cosine,320,layer3_layer4_fc,focal,resnet18,imagenet,71,29,42,123,23,11,12,43,0.9130434782608696,0.8939393939393939,0.8598891007981917,1.0,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,0.078643798828125,10,2,0,11,6,40442
